hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2
0, 1.00000, 2000.14, 179.996, 0, 0
0, 0.00000, 2000.05, 179.991, 0, 0
0, 0.00000, 2000.05, 179.991, 0, 0
0, 0.00101, 1999.98, -179.998, 0, 0
0, 0.00101, 1999.98, -179.998, 0, 0
0, 0.00201, 2000.01, 180, 0, 0
0, 0.00201, 2000.01, 180, 0, 0
0, 0.00301, 2000, -180, 0, 0
0, 0.00301, 2000, -180, 0, 0
0, 0.00401, 2000, -180, 0, 0
0, 0.00401, 2000, -180, 0, 0
0, 0.00501, 2000, 180, 0, 0
0, 0.00501, 2000, 180, 0, 0
0, 0.00601, 2000, -180, 0, 0
0, 0.00601, 2000, -180, 0, 0
0, 0.00701, 2000, 180, 0, 0
0, 0.00701, 2000, 180, 0, 0
0, 0.00801, 2000, -180, 0, 0
0, 0.00801, 2000, -180, 0, 0
0, 0.00901, 2000, -180, 0, 0
0, 0.00901, 2000, -180, 0, 0
0, 0.01001, 2000, -180, 0, 0
0, 0.01001, 2000, -180, 0, 0
0, 0.01101, 2000, 180, 0, 0
0, 0.01101, 2000, 180, 0, 0
0, 0.01201, 2000, -180, 0, 0
0, 0.01201, 2000, -180, 0, 0
0, 0.01301, 2000, 180, 0, 0
0, 0.01301, 2000, 180, 0, 0
0, 0.01401, 2000, -180, 0, 0
0, 0.01401, 2000, -180, 0, 0
0, 0.01501, 2000, 180, 0, 0
0, 0.01501, 2000, 180, 0, 0
0, 0.01601, 2000.01, -179.999, 0, 0
0, 0.01601, 2000.01, -179.999, 0, 0
0, 0.01701, 2000, -180, 0, 0
0, 0.01701, 2000, -180, 0, 0
0, 0.01801, 2000, -180, 0, 0
0, 0.01801, 2000, -180, 0, 0
0, 0.01901, 2000, 180, 0, 0
0, 0.01901, 2000, 180, 0, 0
0, 0.02001, 2000, -180, 0, 0
0, 0.02001, 2000, -180, 0, 0
0, 0.02000, 2000, 180, 0, 0
0, 0.02101, 505.969, -179.998, 0, 0
0, 0.02101, 505.969, -179.998, 0, 0
0, 0.02201, 506.013, 180, 0, 0
0, 0.02201, 506.013, 180, 0, 0
0, 0.02301, 505.996, 180, 0, 0
0, 0.02301, 505.996, 180, 0, 0
